1girl,0,8321620
solo,0,6990004
long_hair,0,6139897
breasts,0,4917997
looking_at_viewer,0,4855649
smile,0,4124342
blush,0,4058337
open_mouth,0,3472417
short_hair,0,3099291
shirt,0,2901128
simple_background,0,2820499
blue_eyes,0,2445659
long_sleeves,0,2328639
white_background,0,2311830
large_breasts,0,2233468
black_hair,0,2176496
holding,0,2173826
skirt,0,2158290
blonde_hair,0,2148877
1boy,0,2104218
multiple_girls,0,2090641
brown_hair,0,2068420
hair_ornament,0,2045179
closed_mouth,0,1939694
dress,0,1930696
gloves,0,1920055
hair_between_eyes,0,1763684
red_eyes,0,1760736
animal_ears,0,1738561
bow,0,1711039
hat,0,1683233
navel,0,1589647
jewelry,0,1582249
original,3,1564600
thighhighs,0,1520748
jacket,0,1474601
ribbon,0,1449187
2girls,0,1421964
cleavage,0,1403138
very_long_hair,0,1399105
white_shirt,0,1395313
bare_shoulders,0,1381738
standing,0,1318632
sitting,0,1300250
full_body,0,1266532
twintails,0,1224953
medium_breasts,0,1204105
blue_hair,0,1189503
purple_eyes,0,1186472
green_eyes,0,1182873
tail,0,1182466
upper_body,0,1180139
multicolored_hair,0,1170930
nipples,0,1129522
male_focus,0,1115183
collarbone,0,1098484
touhou,3,1089449
brown_eyes,0,1082588
pink_hair,0,1049025
school_uniform,0,1047633
closed_eyes,0,1047228
white_hair,0,1031166
grey_hair,0,1016005
yellow_eyes,0,1010533
underwear,0,1009671
ahoge,0,961174
ponytail,0,955524
sidelocks,0,927819
braid,0,918051
swimsuit,0,908416
purple_hair,0,907633
short_sleeves,0,901880
heart,0,894217
flower,0,876543
monochrome,0,845647
earrings,0,845297
shoes,0,844511
:d,0,843891
cowboy_shot,0,842823
thighs,0,825438
panties,0,814741
weapon,0,806034
outdoors,0,801209
hetero,0,794195
hair_ribbon,0,790704
ass,0,785344
frills,0,764555
teeth,0,764204
sweat,0,762206
hair_bow,0,753416
collared_shirt,0,752866
open_clothes,0,746056
parted_lips,0,736062
pantyhose,0,731308
red_hair,0,728614
comic,0,724327
small_breasts,0,709515
pleated_skirt,0,703657
pants,0,698034
hairband,0,697406
boots,0,696261
bikini,0,693467
multiple_boys,0,688483
nude,0,686161
greyscale,0,684744
horns,0,681680
black_gloves,0,669789
necktie,0,656105
censored,0,653721
shorts,0,653209
virtual_youtuber,0,641358
alternate_costume,0,639409
medium_hair,0,631670
sleeveless,0,628170
wings,0,619768
food,0,617427
lying,0,617376
artist_name,0,615828
one_eye_closed,0,614220
choker,0,613397
sky,0,613114
pointy_ears,0,593625
penis,0,589865
green_hair,0,586112
detached_sleeves,0,584216
socks,0,573336
official_alternate_costume,0,563369
hand_up,0,553543
tongue,0,550890
indoors,0,545853
kantai_collection,3,542628
japanese_clothes,0,525970
puffy_sleeves,0,519409
speech_bubble,0,515691
pussy,0,511239
belt,0,508083
hairclip,0,505324
halo,0,503280
black_thighhighs,0,503003
glasses,0,498810
solo_focus,0,498705
barefoot,0,497528
bowtie,0,485992
black_skirt,0,462528
2boys,0,461403
day,0,453582
fang,0,450027
white_dress,0,447174
blue_archive,3,446385
signature,0,437986
white_gloves,0,437934
hood,0,437385
twitter_username,0,430600
looking_at_another,0,430556
streaked_hair,0,429171
blunt_bangs,0,425460
pink_eyes,0,425413
tongue_out,0,415760
holding_weapon,0,414221
stomach,0,414117
sailor_collar,0,408656
pokemon,3,406153
fate_(series),3,406113
english_text,0,405017
elbow_gloves,0,404888
cat_ears,0,404554
dark_skin,0,403527
midriff,0,400224
two-tone_hair,0,397519
mole,0,396646
hair_flower,0,395911
cloud,0,395008
serafuku,0,391180
sex,0,390379
black_jacket,0,386969
miniskirt,0,381528
grey_background,0,379256
open_jacket,0,376431
coat,0,374664
chibi,0,374438
black_dress,0,373543
necklace,0,372545
fingerless_gloves,0,370199
sword,0,369883
hair_bun,0,368226
black_shirt,0,366872
hair_over_one_eye,0,366239
looking_back,0,362150
animal_ear_fluff,0,361548
wide_sleeves,0,356811
star_(symbol),0,355924
on_back,0,354557
striped_clothes,0,354233
grin,0,353288
spread_legs,0,348068
orange_hair,0,347451
white_thighhighs,0,345371
off_shoulder,0,342676
nail_polish,0,341246
cum,0,340270
kimono,0,339823
black_eyes,0,336462
from_side,0,332996
armpits,0,329229
red_bow,0,328395
bag,0,326627
from_behind,0,326483
yuri,0,325470
hololive,3,325439
sweatdrop,0,324850
3girls,0,324580
huge_breasts,0,323557
rabbit_ears,0,322590
vest,0,319567
leotard,0,312065
genshin_impact,3,311078
parted_bangs,0,309179
blurry,0,308748
apron,0,305467
character_name,0,304729
fate/grand_order,3,304149
armor,0,303594
arm_up,0,302654
sweater,0,302088
mosaic_censoring,0,301807
cape,0,300479
black_pantyhose,0,296625
blue_sky,0,295917
tears,0,293598
water,0,289435
completely_nude,0,288546
high_heels,0,288130
grey_eyes,0,285868
vaginal,0,285644
clothes_lift,0,285026
idolmaster,3,284882
crop_top,0,282060
scarf,0,280846
looking_to_the_side,0,278176
collar,0,275724
hands_up,0,275229
bra,0,274702
fingernails,0,272102
feet,0,270988
